tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
--- NEW FIGHT STARTED @ 2026-04-20 20:38:45 ---
tick,target_weapon_melee,target_weapon_mage,target_weapon_ranged,target_melee_atk_bonus,target_magic_atk_bonus,target_ranged_atk_bonus,target_melee_str_bonus,target_magic_str_bonus,target_ranged_str_bonus,target_distance,target_frozen_ticks,target_attack_cycle_ticks,target_special_percent,target_just_attacked,target_has_magic_spec_weapon,target_equipped_weapon_spec_cost,player_hp_pct,actual_attack_style
0,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,1.0,0.0
1,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,0.0,100.0,0.0,0,0.0,1.0,0.0
2,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,0.0,100.0,0.0,0,0.0,1.0,0.0
3,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,0.0,100.0,0.0,0,0.0,1.0,0.0
4,0.0,1.0,0.0,82.0,116.0,0.0,84.0,31.0,0.0,1.0,0.0,0.0,100.0,0.0,0,0.0,1.0,0.0
5,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,0.0,4.0,100.0,1.0,0,75.0,1.0,3.0
6,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,1.0,31.0,3.0,100.0,0.0,0,75.0,0.8888888955116272,3.0
7,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,3.0,30.0,2.0,100.0,0.0,0,75.0,0.8888888955116272,3.0
8,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,29.0,1.0,100.0,0.0,0,75.0,0.8888888955116272,3.0
9,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,28.0,0.0,100.0,0.0,0,75.0,0.8888888955116272,3.0
10,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,27.0,0.0,100.0,0.0,0,75.0,0.8888888955116272,3.0
11,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,26.0,4.0,100.0,1.0,0,75.0,0.8888888955116272,3.0
12,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,25.0,3.0,100.0,0.0,0,75.0,0.8888888955116272,3.0
13,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,24.0,2.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
14,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,23.0,1.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
15,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,22.0,0.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
16,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,21.0,4.0,100.0,1.0,0,75.0,0.7575757503509521,3.0
17,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,20.0,3.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
18,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,19.0,2.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
19,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,18.0,1.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
20,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,17.0,0.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
21,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,16.0,4.0,100.0,1.0,0,75.0,0.7575757503509521,3.0
22,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,15.0,3.0,100.0,0.0,0,75.0,0.7575757503509521,3.0
23,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,14.0,2.0,100.0,0.0,0,75.0,0.4747474789619446,3.0
24,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,13.0,1.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
25,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,12.0,0.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
26,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,7.0,11.0,4.0,100.0,1.0,0,75.0,0.6969696879386902,3.0
27,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,5.0,10.0,3.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
28,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,9.0,2.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
29,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,4.0,8.0,1.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
30,0.0,0.0,1.0,19.0,-22.0,162.0,28.0,0.0,0.0,6.0,7.0,0.0,100.0,0.0,0,75.0,0.6969696879386902,3.0
